time,latitude,longitude,depth,mag,magNst,rms,id,updated,place
2020-10-01T23:15:07.420Z,33.0331667,-115.5846667,5.26,2.51,25,0.3,ci39648016,2020-10-02T00:28:42.521Z,"4km E of Westmorland, CA"
2020-10-01T23:03:58.900Z,33.0648333,-115.5791667,7.63,2.83,25,0.29,ci39647952,2020-10-01T23:38:08.040Z,"5km NE of Westmorland, CA"
2020-10-01T22:54:34.770Z,33.0701667,-115.5953333,5.33,2.68,26,0.23,ci39647912,2020-10-02T01:38:13.040Z,"4km NNE of Westmorland, CA"
2020-10-01T22:50:38.430Z,33.0385,-115.5531667,1.15,2.51,16,0.3,ci39647880,2020-10-03T04:19:50.269Z,"6km E of Westmorland, CA"
2020-10-01T22:50:00.170Z,33.1061667,-115.5993333,3.36,2.7,29,0.25,ci39647872,2020-10-01T23:04:36.040Z,"8km NNE of Westmorland, CA"
2020-10-01T22:47:30.980Z,33.0595,-115.5815,10.86,3.87,4,0.26,ci39647856,2020-10-02T22:50:06.825Z,"4km ENE of Westmorland, CA"
2020-10-01T21:43:36.990Z,33.0985,-115.5805,7.32,2.55,9,0.28,ci39647648,2020-10-01T21:47:34.592Z,"7km WSW of Calipatria, CA"
2020-10-01T21:42:37.850Z,33.1031667,-115.5981667,5.77,2.99,114,0.26,ci39647632,2020-10-02T22:35:07.040Z,"8km NNE of Westmorland, CA"
2020-10-01T21:42:24.380Z,33.1088333,-115.5983333,6.69,2.55,28,0.25,ci39647624,2020-10-01T21:57:50.040Z,"8km WSW of Calipatria, CA"
2020-10-01T21:26:08.320Z,33.0551667,-115.5773333,6.11,2.67,25,0.22,ci39647584,2020-10-01T21:50:45.040Z,"5km ENE of Westmorland, CA"
2020-10-01T21:22:42.500Z,33.0653333,-115.5791667,6.74,3.03,169,0.27,ci39647568,2020-10-02T22:38:28.040Z,"5km NE of Westmorland, CA"
2020-10-01T20:53:37.510Z,33.0725,-115.595,8.37,2.69,25,0.28,ci39647488,2020-10-01T21:06:14.750Z,"5km NNE of Westmorland, CA"
2020-10-01T19:38:53.150Z,33.1075,-115.5955,6.72,2.81,27,0.25,ci39647256,2020-10-01T20:42:16.701Z,"8km WSW of Calipatria, CA"
2020-10-01T18:38:20.730Z,44.3103333,-115.1858333,8.26,2.57,11,0.26,mb80466524,2020-10-01T21:13:22.710Z,"22 km WNW of Stanley, Idaho"
2020-10-01T15:21:41.510Z,33.0743333,-115.5693333,4.77,3.17,193,0.28,ci39646520,2020-10-02T18:03:15.160Z,"6km NE of Westmorland, CA"
2020-10-01T15:00:48.340Z,33.0693321,-115.572998,13.97,3.05,23,0.3,ci39646432,2020-10-01T16:04:17.040Z,"6km NE of Westmorland, CA"
2020-10-01T14:46:42.020Z,33.0626667,-115.577,10.06,3.62,4,0.27,ci39646376,2020-10-02T19:00:23.645Z,"5km NE of Westmorland, CA"
2020-10-01T13:37:20.040Z,33.0651667,-115.574,6.29,2.51,8,0.23,ci39646232,2020-10-01T14:04:27.072Z,"5km NE of Westmorland, CA"
2020-10-01T13:35:39.460Z,33.067,-115.5781667,9.22,3.42,243,0.28,ci39646224,2020-10-02T20:49:07.340Z,"5km NE of Westmorland, CA"
2020-10-01T13:23:13.990Z,33.064167,-115.5755005,10.12,3.2,21,0.26,ci39646168,2020-10-02T15:12:11.040Z,"5km NE of Westmorland, CA"
2020-10-01T12:58:45.310Z,44.4965,-115.2236667,10.16,3.49,26,0.22,mb80466464,2020-10-02T06:54:18.956Z,"38 km NW of Stanley, Idaho"
2020-10-01T12:54:41.050Z,33.0616667,-115.5785,2.88,2.72,25,0.26,ci39646056,2020-10-02T11:46:02.040Z,"5km NE of Westmorland, CA"
2020-10-01T12:47:26.350Z,33.067,-115.5683333,2.32,2.76,13,0.24,ci39646040,2020-10-05T20:31:47.808Z,"6km ENE of Westmorland, CA"
2020-10-01T12:46:38.210Z,33.0648333,-115.5765,10.72,3.5,255,0.23,ci39646032,2020-10-02T20:05:09.558Z,"5km NE of Westmorland, CA"
2020-10-01T12:37:34.000Z,33.0686667,-115.5926667,9.89,2.56,26,0.24,ci39646016,2020-10-01T12:48:29.240Z,"4km NE of Westmorland, CA"
2020-10-01T11:58:46.560Z,33.0691667,-115.5818333,8.6,2.52,24,0.24,ci39645904,2020-10-02T10:37:17.040Z,"5km NE of Westmorland, CA"
2020-10-01T11:55:13.070Z,33.0643333,-115.5753333,3.2,2.83,26,0.26,ci39645888,2020-10-02T10:33:28.040Z,"5km NE of Westmorland, CA"
2020-10-01T11:13:58.220Z,33.0655,-115.5985,3.38,2.66,11,0.26,ci39645752,2020-10-01T11:17:51.055Z,"4km NE of Westmorland, CA"
2020-10-01T11:13:20.530Z,33.0665016,-115.5891647,8.31,2.98,20,0.23,ci39645744,2020-10-01T11:15:33.680Z,"4km NE of Westmorland, CA"
2020-10-01T10:15:29.280Z,33.1108333,-115.5986667,6.54,2.89,27,0.27,ci39645504,2020-10-02T09:47:43.040Z,"8km WSW of Calipatria, CA"
2020-10-01T10:07:17.140Z,33.0396667,-115.5868333,5.45,2.85,154,0.34,ci39645448,2020-10-01T15:14:37.810Z,"3km E of Westmorland, CA"
2020-10-01T10:07:14.780Z,33.1031667,-115.5991667,5.84,2.66,1,0.23,ci39645440,2020-10-02T09:41:25.040Z,"8km NNE of Westmorland, CA"
2020-10-01T09:28:50.610Z,33.0583333,-115.5783333,3.14,2.76,26,0.28,ci39645264,2020-10-02T09:25:01.040Z,"5km ENE of Westmorland, CA"
2020-10-01T08:39:39.710Z,33.0718333,-115.6058333,4.41,2.75,26,0.28,ci39645032,2020-10-01T08:50:40.410Z,"4km NNE of Westmorland, CA"
2020-10-01T07:39:28.053Z,38.1112,-118.2234,6.4,2.8,19,0.1434,nn00776516,2020-10-02T02:25:42.288Z,"32 km SSW of Mina, Nevada"
2020-10-01T07:30:05.150Z,33.0603333,-115.5716667,2.19,2.52,26,0.28,ci39644768,2020-10-01T07:40:48.010Z,"5km ENE of Westmorland, CA"
2020-10-01T07:15:51.470Z,33.0741667,-115.5953333,8.33,2.78,25,0.28,ci39644712,2020-10-01T07:27:20.080Z,"5km NNE of Westmorland, CA"
2020-10-01T07:11:43.490Z,33.0611667,-115.5925,2.77,2.58,27,0.22,ci39644688,2020-10-01T07:15:33.659Z,"4km NE of Westmorland, CA"
2020-10-01T07:10:24.330Z,33.0751648,-115.6008301,10.4,3.11,20,0.31,ci39644672,2020-10-01T13:37:43.370Z,"5km NNE of Westmorland, CA"
2020-10-01T06:58:14.270Z,33.055,-115.6086667,0.14,3.09,6,0.19,ci37456541,2020-10-01T19:46:12.649Z,"2km NNE of Westmorland, CA"
2020-10-01T06:57:58.280Z,33.061,-115.5963333,10.58,3.46,4,0.26,ci39644616,2020-10-02T06:59:38.052Z,"4km NE of Westmorland, CA"
2020-10-01T06:29:32.720Z,33.074,-115.6001667,8.34,2.8,26,0.28,ci39644432,2020-10-01T06:43:35.040Z,"4km NNE of Westmorland, CA"
2020-10-01T06:16:15.330Z,33.0536667,-115.5833333,6.9,2.52,28,0.25,ci39644384,2020-10-01T06:27:12.840Z,"4km ENE of Westmorland, CA"
2020-10-01T04:54:23.760Z,33.037,-115.5858333,4.41,2.84,26,0.26,ci39643920,2020-10-05T04:50:53.040Z,"3km E of Westmorland, CA"
2020-10-01T04:21:04.300Z,33.0796667,-115.5931667,4.12,2.84,27,0.25,ci39643720,2020-10-05T03:44:04.040Z,"5km NNE of Westmorland, CA"
2020-10-01T04:12:04.350Z,33.0628333,-115.567,2.66,2.59,26,0.27,ci39643656,2020-10-05T04:48:00.040Z,"6km ENE of Westmorland, CA"
2020-10-01T03:50:58.710Z,33.0581667,-115.5921667,4.74,2.5,30,0.27,ci39643472,2020-10-05T04:44:11.040Z,"4km NE of Westmorland, CA"
2020-10-01T03:50:14.300Z,33.0565,-115.588,9.23,2.75,26,0.24,ci39643464,2020-10-05T03:36:13.040Z,"4km NE of Westmorland, CA"
2020-10-01T03:46:59.850Z,33.0806667,-115.603,8.37,2.55,4,0.31,ci39643448,2020-10-05T04:39:34.040Z,"5km NNE of Westmorland, CA"
2020-10-01T03:46:11.150Z,33.0343333,-115.6088333,9.58,2.65,24,0.27,ci39643432,2020-10-05T04:36:31.040Z,"1km ESE of Westmorland, CA"
2020-10-01T03:45:54.240Z,33.0673333,-115.5888333,5.44,2.6,27,0.24,ci39643424,2020-10-05T04:33:07.040Z,"4km NE of Westmorland, CA"
2020-10-01T03:45:11.160Z,33.0691667,-115.5623333,5.17,2.55,26,0.24,ci39643416,2020-10-05T04:29:29.040Z,"6km ENE of Westmorland, CA"
2020-10-01T03:42:16.030Z,33.0748333,-115.5781667,5.32,2.78,28,0.2,ci39643376,2020-10-05T04:18:17.040Z,"6km NE of Westmorland, CA"
2020-10-01T03:40:49.340Z,33.0745,-115.5866667,8.44,3.14,19,0.26,ci39643368,2020-10-05T04:14:57.040Z,"5km NE of Westmorland, CA"
2020-10-01T03:40:16.260Z,33.0706667,-115.5963333,4.77,3.66,84,0.27,ci39643360,2020-10-05T04:35:56.544Z,"4km NNE of Westmorland, CA"
2020-10-01T03:39:50.080Z,33.0753333,-115.6051667,5.55,2.68,22,0.27,ci39643352,2020-10-05T04:10:37.040Z,"4km NNE of Westmorland, CA"
2020-10-01T03:38:53.380Z,33.0335,-115.6091667,0.99,3.02,7,0.17,ci37456597,2020-10-05T04:07:29.040Z,"1km ESE of Westmorland, CA"
2020-10-01T03:38:39.130Z,33.0486667,-115.6126667,0.14,2.97,6,0.27,ci37456581,2020-10-05T04:04:05.040Z,"2km NNE of Westmorland, CA"
2020-10-01T03:38:28.620Z,33.0646667,-115.5915,4.62,3.43,4,0.26,ci39643344,2020-10-05T19:03:25.328Z,"4km NE of Westmorland, CA"
2020-10-01T03:38:12.820Z,33.0488333,-115.611,3.02,2.91,3,0.13,ci37456573,2020-10-05T03:59:58.040Z,"2km NE of Westmorland, CA"
2020-10-01T03:37:54.500Z,33.0408333,-115.5938333,3.54,3.45,6,0.22,ci39643336,2020-10-05T03:27:29.040Z,"3km E of Westmorland, CA"
2020-10-01T03:37:04.380Z,33.0518333,-115.575,8.65,4.02,6,0.21,ci37456405,2020-10-02T22:43:32.324Z,"5km ENE of Westmorland, CA"
2020-10-01T03:36:34.130Z,33.0661667,-115.5971667,5.68,4.49,6,0.29,ci39643328,2020-10-05T03:27:53.085Z,"4km NE of Westmorland, CA"
2020-10-01T03:32:57.950Z,33.0711667,-115.5986667,11.29,3.43,103,0.25,ci39643288,2020-10-05T03:00:18.198Z,"4km NNE of Westmorland, CA"
2020-10-01T03:31:00.900Z,33.084,-115.5898333,11.14,3.5,238,0.27,ci39643256,2020-10-05T02:00:04.755Z,"6km NNE of Westmorland, CA"
2020-10-01T03:07:14.830Z,33.0706667,-115.5933333,5.32,2.54,4,0.27,ci39643048,2020-10-01T03:11:02.229Z,"4km NE of Westmorland, CA"
2020-10-01T03:05:28.770Z,33.0761667,-115.6001667,9.1,2.72,26,0.25,ci39643040,2020-10-05T03:52:13.040Z,"5km NNE of Westmorland, CA"
2020-10-01T02:48:47.671Z,38.1475,-117.9175,9,3,17,0.1429,nn00776479,2020-10-05T01:53:02.040Z,Nevada
2020-10-01T02:15:22.630Z,33.041,-115.5856667,4.77,2.79,26,0.24,ci39642608,2020-10-05T01:49:47.040Z,"3km E of Westmorland, CA"
2020-10-01T02:13:53.030Z,33.0473333,-115.5815,2.62,2.57,30,0.2,ci39642584,2020-10-05T01:46:42.040Z,"4km ENE of Westmorland, CA"
2020-10-01T01:47:11.340Z,33.0245,-115.6145,15.74,3.19,4,0.24,ci37456549,2020-10-05T01:40:34.040Z,"2km SSE of Westmorland, CA"
2020-10-01T01:46:52.050Z,33.0663333,-115.5871667,13.59,3.46,129,0.25,ci39642320,2020-10-05T00:02:18.040Z,"4km NE of Westmorland, CA"
2020-10-01T01:46:43.990Z,33.0471667,-115.591,3.32,2.64,2,0.25,ci39642328,2020-10-01T02:39:16.172Z,"3km ENE of Westmorland, CA"
2020-10-01T01:44:24.110Z,33.0585,-115.595,3.8,2.51,5,0.22,ci39642272,2020-10-01T03:27:47.040Z,"3km NE of Westmorland, CA"
2020-10-01T01:43:51.190Z,33.0668333,-115.5966667,5.09,2.68,25,0.25,ci39642256,2020-10-04T23:34:22.040Z,"4km NE of Westmorland, CA"
2020-10-01T01:30:01.750Z,33.0418333,-115.5961667,2.09,2.95,173,0.35,ci39642096,2020-10-04T22:07:25.040Z,"2km ENE of Westmorland, CA"
2020-10-01T01:28:55.450Z,33.0706667,-115.5846667,9.95,2.58,4,0.22,ci39642080,2020-10-04T23:24:16.040Z,"5km NE of Westmorland, CA"
2020-10-01T01:27:15.610Z,33.0456667,-115.5571667,8.95,2.72,2,0.31,ci39642048,2020-10-04T22:34:47.040Z,"6km E of Westmorland, CA"
2020-10-01T01:26:56.560Z,33.0616684,-115.5830002,9.89,3.05,22,0.27,ci39642056,2020-10-04T22:23:13.040Z,"4km NE of Westmorland, CA"
2020-10-01T01:25:20.950Z,33.0626667,-115.5958333,3.2,2.64,25,0.31,ci39642040,2020-10-02T04:40:21.040Z,"4km NE of Westmorland, CA"
2020-10-01T01:24:07.210Z,33.0393333,-115.6033333,4.65,2.59,2,0.34,ci37456629,2020-10-04T22:18:55.040Z,"2km E of Westmorland, CA"
2020-10-01T01:23:27.060Z,33.055,-115.5845,5.88,2.5,29,0.25,ci39642024,2020-10-02T04:36:35.040Z,"4km ENE of Westmorland, CA"
2020-10-01T01:22:37.470Z,33.0641667,-115.5918333,8.37,2.65,25,0.25,ci39642016,2020-10-02T04:28:25.040Z,"4km NE of Westmorland, CA"
2020-10-01T01:21:10.040Z,33.0588333,-115.59,7.92,2.79,25,0.24,ci39642000,2020-10-02T04:21:23.040Z,"4km NE of Westmorland, CA"
2020-10-01T01:17:36.630Z,33.0633333,-115.5865,11.42,3.46,4,0.22,ci39641968,2020-10-02T04:10:28.040Z,"4km NE of Westmorland, CA"
2020-10-01T01:17:34.684Z,44.3636,-115.1924,10,2.7,50,0.68,us6000c3x6,2020-10-02T04:06:32.846Z,"25 km NW of Stanley, Idaho"
2020-10-01T01:15:53.770Z,33.0706673,-115.5996704,7.78,3.21,22,0.27,ci39641952,2020-10-02T03:59:09.040Z,"4km NNE of Westmorland, CA"
2020-10-01T01:14:11.300Z,33.0623333,-115.5835,9.11,2.79,28,0.26,ci39641936,2020-10-02T03:19:23.040Z,"4km NE of Westmorland, CA"
2020-10-01T01:13:23.100Z,33.0528333,-115.5483333,11.27,2.9,29,0.25,ci39641928,2020-10-02T01:42:35.040Z,"7km ENE of Westmorland, CA"
2020-10-01T01:11:30.460Z,33.0373344,-115.5940018,3.27,3.23,5,0.22,ci39641896,2020-10-02T01:12:25.040Z,"3km E of Westmorland, CA"
2020-10-01T01:11:05.600Z,33.0428333,-115.5813333,7.45,3.64,6,0.26,ci39641888,2020-10-02T01:15:46.512Z,"4km E of Westmorland, CA"
2020-10-01T01:10:44.930Z,33.0466667,-115.5913333,7.8,3.82,4,0.33,ci37456509,2020-10-02T01:13:54.343Z,"3km ENE of Westmorland, CA"
2020-10-01T01:10:25.770Z,33.0436667,-115.59,11.12,4.12,5,0.29,ci39641880,2020-10-02T01:43:17.718Z,"3km ENE of Westmorland, CA"
2020-10-01T01:07:54.050Z,33.0428333,-115.5936667,4.84,2.67,8,0.27,ci39641864,2020-10-01T23:06:37.040Z,"3km ENE of Westmorland, CA"
2020-10-01T01:07:34.600Z,33.0433333,-115.5816667,8.48,2.57,30,0.16,ci39641856,2020-10-01T21:55:21.040Z,"4km E of Westmorland, CA"
2020-10-01T01:06:23.010Z,33.056,-115.5991667,9.63,3.3,43,0.27,ci39641848,2020-10-02T17:55:43.870Z,"3km NE of Westmorland, CA"
2020-10-01T01:05:05.530Z,33.0583344,-115.5993347,6.59,3.35,22,0.28,ci39641840,2020-10-02T20:45:43.840Z,"3km NE of Westmorland, CA"
2020-10-01T01:00:14.680Z,33.0456657,-115.588501,4.76,3.15,25,0.26,ci39641784,2020-10-01T22:02:00.040Z,"3km ENE of Westmorland, CA"
2020-10-01T00:59:21.370Z,33.0423333,-115.5758333,9.24,3.18,3,0.23,ci37456485,2020-10-01T18:33:29.386Z,"4km E of Westmorland, CA"
2020-10-01T00:58:13.850Z,33.065,-115.5933333,11.05,4.09,6,0.28,ci39641768,2020-10-02T01:01:24.140Z,"4km NE of Westmorland, CA"
2020-10-01T00:57:18.370Z,33.067,-115.6085,0.91,2.6,6,0.39,ci39641760,2020-10-01T09:00:15.809Z,"4km NNE of Westmorland, CA"
2020-10-01T00:53:22.420Z,33.0466667,-115.6171667,2.99,2.77,9,0.3,ci37457181,2020-10-05T21:13:18.303Z,"1km NNE of Westmorland, CA"
2020-10-01T00:53:13.080Z,33.0526667,-115.5846667,10.13,2.95,28,0.23,ci39641736,2020-10-05T20:52:06.230Z,"4km ENE of Westmorland, CA"
2020-10-01T00:51:20.910Z,33.0595,-115.5841667,6.95,2.53,10,0.28,ci39641720,2020-10-01T16:08:13.600Z,"4km NE of Westmorland, CA"
2020-10-01T00:51:11.520Z,33.0335,-115.5835,4.56,2.63,12,0.21,ci37456429,2020-10-01T15:50:01.330Z,"4km E of Westmorland, CA"
2020-10-01T00:50:55.570Z,33.046833,-115.5914993,2.82,3.04,29,0.29,ci39641712,2020-10-01T13:39:09.163Z,"3km ENE of Westmorland, CA"
2020-10-01T00:50:49.140Z,33.0353317,-115.5759964,2.89,2.99,32,0.14,ci39641704,2020-10-01T02:47:46.040Z,"4km E of Westmorland, CA"
2020-10-01T00:50:21.650Z,33.053833,-115.5914993,9.68,3.18,22,0.28,ci39641696,2020-10-01T13:39:24.925Z,"3km ENE of Westmorland, CA"
2020-10-01T00:49:54.820Z,33.0311667,-115.5751667,4.61,2.69,27,0.17,ci39641688,2020-10-01T02:40:02.040Z,"4km E of Westmorland, CA"
2020-10-01T00:48:31.340Z,33.0636673,-115.6006699,5.48,2.66,5,0.2,ci39641680,2020-10-01T02:33:33.040Z,"4km NNE of Westmorland, CA"
2020-10-01T00:48:05.950Z,33.0688324,-115.5585022,8.53,3.14,33,0.23,ci39641672,2020-10-01T13:39:40.274Z,"7km ENE of Westmorland, CA"
2020-10-01T00:47:57.750Z,33.0393333,-115.588501,3.39,2.68,10,0.11,ci39641664,2020-10-01T02:26:04.040Z,"3km E of Westmorland, CA"
2020-10-01T00:47:18.930Z,33.0478333,-115.5895,5.06,3.35,75,0.25,ci39641656,2020-10-05T20:24:52.029Z,"3km ENE of Westmorland, CA"
2020-10-01T00:46:05.820Z,33.0558319,-115.591835,5.28,2.99,22,0.26,ci39641648,2020-10-01T03:29:39.040Z,"3km NE of Westmorland, CA"
2020-10-01T00:43:40.450Z,33.0563316,-115.5871658,5.7,3.12,27,0.27,ci39641632,2020-10-01T13:39:30.329Z,"4km ENE of Westmorland, CA"
2020-10-01T00:43:11.570Z,33.0498333,-115.5756667,5.6,2.76,6,0.12,ci39641624,2020-10-01T03:32:02.040Z,"4km ENE of Westmorland, CA"
2020-10-01T00:41:33.840Z,33.0123333,-115.698,1.45,3.79,5,0.26,ci37456517,2020-10-02T00:49:12.809Z,"8km WSW of Westmorland, CA"
2020-10-01T00:41:18.390Z,33.0713333,-115.5983333,11.22,4.18,4,0.24,ci39641616,2020-10-02T00:46:36.131Z,"4km NNE of Westmorland, CA"
2020-10-01T00:39:01.260Z,33.0660019,-115.5800018,7.44,3.1,19,0.17,ci39641600,2020-10-01T13:40:09.734Z,"5km NE of Westmorland, CA"
2020-10-01T00:38:43.880Z,33.038,-115.6063333,2.26,3.33,9,0.24,ci39641592,2020-10-01T08:41:26.037Z,"1km E of Westmorland, CA"
2020-10-01T00:38:37.090Z,33.0588333,-115.5818333,1.12,3.1,2,0.31,ci39641584,2020-10-01T13:40:07.629Z,"4km ENE of Westmorland, CA"
2020-10-01T00:36:51.710Z,33.0483333,-115.5811667,5.98,3.02,10,0.2,ci39641576,2020-10-02T18:50:53.520Z,"4km ENE of Westmorland, CA"
2020-10-01T00:36:30.510Z,33.0328333,-115.5868333,3.77,3.46,8,0.23,ci39641568,2020-10-02T18:43:06.945Z,"3km E of Westmorland, CA"
2020-10-01T00:36:15.970Z,33.0313333,-115.5778333,3.88,2.94,9,0.2,ci39641560,2020-10-02T18:10:11.284Z,"4km E of Westmorland, CA"
2020-10-01T00:35:43.950Z,33.0446667,-115.5826667,4.67,2.97,9,0.22,ci39641552,2020-10-02T18:02:33.244Z,"4km ENE of Westmorland, CA"
2020-10-01T00:33:59.330Z,33.0165,-115.704,3.01,3.81,4,0.3,ci37456501,2020-10-02T00:47:22.778Z,"8km WSW of Westmorland, CA"
2020-10-01T00:33:48.650Z,33.0468333,-115.59,5.93,3.9,13,0.28,ci39641544,2020-10-03T08:05:37.570Z,"3km ENE of Westmorland, CA"
2020-10-01T00:31:27.340Z,33.056,-115.5898333,11.54,4.93,7,0.31,ci39641528,2020-10-04T17:39:03.220Z,"4km NE of Westmorland, CA"
2020-10-01T00:28:11.300Z,33.0435,-115.5908333,5.26,2.61,26,0.25,ci39641520,2020-10-01T08:30:41.862Z,"3km ENE of Westmorland, CA"
2020-09-30T23:58:02.300Z,33.0493333,-115.5846667,9.57,3.69,4,0.27,ci39641288,2020-10-01T23:59:58.811Z,"4km ENE of Westmorland, CA"
2020-09-30T23:57:07.480Z,33.0495,-115.5898333,4.96,2.7,27,0.27,ci39641280,2020-10-01T02:42:28.040Z,"3km ENE of Westmorland, CA"
